Date,Open,High,Low,Close,Volume,daily_return,log_return,vol_20d,cluster_regime,vol_z
2015-07-21,8601.5,8646.75,8517.900390625,8529.4501953125,164100,-0.0086012004858606,-0.0086384042959938,0.1133903068932149,0.0,-0.32756607776674024
2015-07-22,8512.25,8643.900390625,8498.650390625,8633.5,136800,0.0121988876545269,0.0121250808588124,0.1193574088962838,0.0,-0.2551497751455516
2015-07-23,8643.9501953125,8654.75,8573.7998046875,8589.7998046875,132900,-0.0050617009686106,-0.0050745547700366,0.1211270162828284,0.0,-0.23367395255046305
2015-07-24,8588.150390625,8589.150390625,8513.5,8521.5498046875,127400,-0.0079454703895143,-0.0079772038426155,0.124967808189216,0.0,-0.18706238987649998
2015-07-27,8492.099609375,8492.2001953125,8351.5498046875,8361.0,136600,-0.018840446675461,-0.019020189089775,0.1408301006591798,0.0,0.005441202517249515
2015-07-28,8371.099609375,8397.400390625,8321.75,8337.0,174600,-0.0028704700394689,-0.0028745977394444,0.1395434256380024,0.0,-0.01017378909187443
2015-07-29,8365.599609375,8381.5,8338.4501953125,8375.0498046875,141000,0.0045639684163967,0.0045535850933296,0.1354972519507463,0.0,-0.059277849663242774
2015-07-30,8417.0,8458.900390625,8408.2998046875,8421.7998046875,215200,0.0055820563567077,0.0055665344162307,0.1371501253251053,0.0,-0.039218702289773
2015-07-31,8456.099609375,8548.9501953125,8448.0,8532.849609375,203300,0.013185994355469,0.0130998158712683,0.1441316803407449,1.0,0.04550892604958077
2015-08-03,8510.650390625,8563.9501953125,8508.099609375,8543.0498046875,156700,0.0011954031512864,0.0011946892258352,0.143371695949056,0.0,0.036285812439721545
2015-08-04,8564.099609375,8565.150390625,8448.25,8516.900390625,187400,-0.0030608991707097,-0.0030655933038692,0.1437364504536188,0.0,0.04071244576545937
2015-08-05,8547.4501953125,8591.849609375,8545.849609375,8567.9501953125,132800,0.0059939417330385,0.0059760495252578,0.129142825604888,0.0,-0.1363946914750747
2015-08-06,8585.7998046875,8606.2998046875,8551.5,8588.650390625,134900,0.0024160032260487,0.0024130893825477,0.1276316872751627,0.0,-0.15473375297118855
2015-08-07,8580.7998046875,8595.9501953125,8552.7001953125,8564.599609375,143700,-0.0028002980859778,-0.002804226255741,0.1282211197559216,0.0,-0.14758044456797337
2015-08-10,8577.0,8621.5498046875,8497.7998046875,8525.599609375,123400,-0.0045536279311072,-0.0045640272766171,0.1233729375409555,0.0,-0.2064176205138654
